obs_date,source,metric,value,unit,note
2024-02-21,wikipedia,pageviews,6609,count,Grand_Theft_Auto_VI
2024-02-22,price,close,152.44,usd,
2024-02-22,price,pct_vs_entry,-39.024,pct,entry=250.0
2024-02-22,wikipedia,pageviews,6119,count,Grand_Theft_Auto_VI
2024-02-23,price,close,151.01,usd,
2024-02-23,price,pct_vs_entry,-39.596,pct,entry=250.0
2024-02-23,wikipedia,pageviews,5606,count,Grand_Theft_Auto_VI
2024-02-24,wikipedia,pageviews,5880,count,Grand_Theft_Auto_VI
2024-02-25,wikipedia,pageviews,6045,count,Grand_Theft_Auto_VI
2024-02-26,price,close,149.71,usd,
2024-02-26,price,pct_vs_entry,-40.116,pct,entry=250.0
2024-02-26,wikipedia,pageviews,5922,count,Grand_Theft_Auto_VI
2024-02-27,price,close,147.94,usd,
2024-02-27,price,pct_vs_entry,-40.824,pct,entry=250.0
2024-02-27,wikipedia,pageviews,6099,count,Grand_Theft_Auto_VI
2024-02-28,price,close,147.48,usd,
2024-02-28,price,pct_vs_entry,-41.008,pct,entry=250.0
2024-02-28,wikipedia,pageviews,6142,count,Grand_Theft_Auto_VI
2024-02-29,price,close,146.93,usd,
2024-02-29,price,pct_vs_entry,-41.228,pct,entry=250.0
2024-02-29,wikipedia,pageviews,6984,count,Grand_Theft_Auto_VI
2024-03-01,price,close,150.34,usd,
2024-03-01,price,pct_vs_entry,-39.864,pct,entry=250.0
2024-03-01,wikipedia,pageviews,6079,count,Grand_Theft_Auto_VI
2024-03-02,wikipedia,pageviews,6152,count,Grand_Theft_Auto_VI
2024-03-03,wikipedia,pageviews,7223,count,Grand_Theft_Auto_VI
2024-03-04,price,close,146.33,usd,
2024-03-04,price,pct_vs_entry,-41.468,pct,entry=250.0
2024-03-04,wikipedia,pageviews,5983,count,Grand_Theft_Auto_VI
2024-03-05,price,close,143.94,usd,
2024-03-05,price,pct_vs_entry,-42.424,pct,entry=250.0
2024-03-05,wikipedia,pageviews,7028,count,Grand_Theft_Auto_VI
2024-03-06,price,close,143.9,usd,
2024-03-06,price,pct_vs_entry,-42.44,pct,entry=250.0
2024-03-06,wikipedia,pageviews,5496,count,Grand_Theft_Auto_VI
2024-03-07,price,close,145.01,usd,
2024-03-07,price,pct_vs_entry,-41.996,pct,entry=250.0
2024-03-07,wikipedia,pageviews,5168,count,Grand_Theft_Auto_VI
2024-03-08,price,close,143.73,usd,
2024-03-08,price,pct_vs_entry,-42.508,pct,entry=250.0
2024-03-08,wikipedia,pageviews,5774,count,Grand_Theft_Auto_VI
2024-03-09,wikipedia,pageviews,5560,count,Grand_Theft_Auto_VI
2024-03-10,wikipedia,pageviews,5616,count,Grand_Theft_Auto_VI
2024-03-11,price,close,145.87,usd,
2024-03-11,price,pct_vs_entry,-41.652,pct,entry=250.0
2024-03-11,wikipedia,pageviews,5229,count,Grand_Theft_Auto_VI
2024-03-12,price,close,144.53,usd,
2024-03-12,price,pct_vs_entry,-42.188,pct,entry=250.0
2024-03-12,wikipedia,pageviews,5438,count,Grand_Theft_Auto_VI
2024-03-13,price,close,144.89,usd,
2024-03-13,price,pct_vs_entry,-42.044,pct,entry=250.0
2024-03-13,wikipedia,pageviews,4953,count,Grand_Theft_Auto_VI
2024-03-14,price,close,143.77,usd,
2024-03-14,price,pct_vs_entry,-42.492,pct,entry=250.0
2024-03-14,wikipedia,pageviews,5103,count,Grand_Theft_Auto_VI
2024-03-15,price,close,143.91,usd,
2024-03-15,price,pct_vs_entry,-42.436,pct,entry=250.0
2024-03-15,wikipedia,pageviews,5180,count,Grand_Theft_Auto_VI
2024-03-16,wikipedia,pageviews,5281,count,Grand_Theft_Auto_VI
2024-03-17,wikipedia,pageviews,5538,count,Grand_Theft_Auto_VI
2024-03-18,price,close,144.62,usd,
2024-03-18,price,pct_vs_entry,-42.152,pct,entry=250.0
2024-03-18,wikipedia,pageviews,5654,count,Grand_Theft_Auto_VI
2024-03-19,price,close,145.2,usd,
2024-03-19,price,pct_vs_entry,-41.92,pct,entry=250.0
2024-03-19,wikipedia,pageviews,5318,count,Grand_Theft_Auto_VI
2024-03-20,price,close,148.43,usd,
2024-03-20,price,pct_vs_entry,-40.628,pct,entry=250.0
2024-03-20,wikipedia,pageviews,5387,count,Grand_Theft_Auto_VI
2024-03-21,price,close,152.17,usd,
2024-03-21,price,pct_vs_entry,-39.132,pct,entry=250.0
2024-03-21,wikipedia,pageviews,5476,count,Grand_Theft_Auto_VI
2024-03-22,price,close,152.46,usd,
2024-03-22,price,pct_vs_entry,-39.016,pct,entry=250.0
2024-03-22,wikipedia,pageviews,5361,count,Grand_Theft_Auto_VI
2024-03-23,wikipedia,pageviews,7350,count,Grand_Theft_Auto_VI
2024-03-24,wikipedia,pageviews,6029,count,Grand_Theft_Auto_VI
2024-03-25,price,close,146.14,usd,
2024-03-25,price,pct_vs_entry,-41.544,pct,entry=250.0
2024-03-25,wikipedia,pageviews,5539,count,Grand_Theft_Auto_VI
2024-03-26,price,close,146.67,usd,
2024-03-26,price,pct_vs_entry,-41.332,pct,entry=250.0
2024-03-26,wikipedia,pageviews,4986,count,Grand_Theft_Auto_VI
2024-03-27,price,close,146.92,usd,
2024-03-27,price,pct_vs_entry,-41.232,pct,entry=250.0
2024-03-27,wikipedia,pageviews,4850,count,Grand_Theft_Auto_VI
2024-03-28,price,close,148.49,usd,
2024-03-28,price,pct_vs_entry,-40.604,pct,entry=250.0
2024-03-28,wikipedia,pageviews,5298,count,Grand_Theft_Auto_VI
2024-03-29,wikipedia,pageviews,4984,count,Grand_Theft_Auto_VI
2024-03-30,wikipedia,pageviews,5224,count,Grand_Theft_Auto_VI
2024-03-31,wikipedia,pageviews,5303,count,Grand_Theft_Auto_VI
2024-04-01,price,close,150.0,usd,
2024-04-01,price,pct_vs_entry,-40.0,pct,entry=250.0
2024-04-01,wikipedia,pageviews,6305,count,Grand_Theft_Auto_VI
2024-04-02,price,close,149.57,usd,
2024-04-02,price,pct_vs_entry,-40.172,pct,entry=250.0
2024-04-02,wikipedia,pageviews,6126,count,Grand_Theft_Auto_VI
2024-04-03,price,close,151.73,usd,
2024-04-03,price,pct_vs_entry,-39.308,pct,entry=250.0
2024-04-03,wikipedia,pageviews,5306,count,Grand_Theft_Auto_VI
2024-04-04,price,close,149.59,usd,
2024-04-04,price,pct_vs_entry,-40.164,pct,entry=250.0
2024-04-04,wikipedia,pageviews,5135,count,Grand_Theft_Auto_VI
2024-04-05,price,close,151.04,usd,
2024-04-05,price,pct_vs_entry,-39.584,pct,entry=250.0
2024-04-05,wikipedia,pageviews,4703,count,Grand_Theft_Auto_VI
2024-04-06,wikipedia,pageviews,4590,count,Grand_Theft_Auto_VI
2024-04-07,wikipedia,pageviews,4594,count,Grand_Theft_Auto_VI
2024-04-08,price,close,153.65,usd,
2024-04-08,price,pct_vs_entry,-38.54,pct,entry=250.0
2024-04-08,wikipedia,pageviews,4726,count,Grand_Theft_Auto_VI
2024-04-09,price,close,154.7,usd,
2024-04-09,price,pct_vs_entry,-38.12,pct,entry=250.0
2024-04-09,wikipedia,pageviews,4571,count,Grand_Theft_Auto_VI
2024-04-10,price,close,152.12,usd,
2024-04-10,price,pct_vs_entry,-39.152,pct,entry=250.0
2024-04-10,wikipedia,pageviews,4850,count,Grand_Theft_Auto_VI
2024-04-11,price,close,151.34,usd,
2024-04-11,price,pct_vs_entry,-39.464,pct,entry=250.0
2024-04-11,wikipedia,pageviews,4631,count,Grand_Theft_Auto_VI
2024-04-12,price,close,147.27,usd,
2024-04-12,price,pct_vs_entry,-41.092,pct,entry=250.0
2024-04-12,wikipedia,pageviews,4386,count,Grand_Theft_Auto_VI
2024-04-13,wikipedia,pageviews,4266,count,Grand_Theft_Auto_VI
2024-04-14,wikipedia,pageviews,4656,count,Grand_Theft_Auto_VI
2024-04-15,price,close,145.3,usd,
2024-04-15,price,pct_vs_entry,-41.88,pct,entry=250.0
2024-04-15,wikipedia,pageviews,4779,count,Grand_Theft_Auto_VI
2024-04-16,price,close,145.45,usd,
2024-04-16,price,pct_vs_entry,-41.82,pct,entry=250.0
2024-04-16,wikipedia,pageviews,4418,count,Grand_Theft_Auto_VI
2024-04-17,price,close,143.16,usd,
2024-04-17,price,pct_vs_entry,-42.736,pct,entry=250.0
2024-04-17,wikipedia,pageviews,4807,count,Grand_Theft_Auto_VI
2024-04-18,price,close,140.64,usd,
2024-04-18,price,pct_vs_entry,-43.744,pct,entry=250.0
2024-04-18,wikipedia,pageviews,4599,count,Grand_Theft_Auto_VI
2024-04-19,price,close,140.6,usd,
2024-04-19,price,pct_vs_entry,-43.76,pct,entry=250.0
2024-04-19,wikipedia,pageviews,4512,count,Grand_Theft_Auto_VI
2024-04-20,wikipedia,pageviews,4680,count,Grand_Theft_Auto_VI
2024-04-21,wikipedia,pageviews,5389,count,Grand_Theft_Auto_VI
2024-04-22,price,close,139.96,usd,
2024-04-22,price,pct_vs_entry,-44.016,pct,entry=250.0
2024-04-22,wikipedia,pageviews,4793,count,Grand_Theft_Auto_VI
2024-04-23,price,close,141.72,usd,
2024-04-23,price,pct_vs_entry,-43.312,pct,entry=250.0
2024-04-23,wikipedia,pageviews,4432,count,Grand_Theft_Auto_VI
2024-04-24,price,close,142.83,usd,
2024-04-24,price,pct_vs_entry,-42.868,pct,entry=250.0
2024-04-24,wikipedia,pageviews,4292,count,Grand_Theft_Auto_VI
2024-04-25,price,close,143.43,usd,
2024-04-25,price,pct_vs_entry,-42.628,pct,entry=250.0
2024-04-25,wikipedia,pageviews,4556,count,Grand_Theft_Auto_VI
2024-04-26,price,close,144.47,usd,
2024-04-26,price,pct_vs_entry,-42.212,pct,entry=250.0
2024-04-26,wikipedia,pageviews,4300,count,Grand_Theft_Auto_VI
2024-04-27,wikipedia,pageviews,4505,count,Grand_Theft_Auto_VI
2024-04-28,wikipedia,pageviews,4853,count,Grand_Theft_Auto_VI
2024-04-29,price,close,144.27,usd,
2024-04-29,price,pct_vs_entry,-42.292,pct,entry=250.0
2024-04-29,wikipedia,pageviews,5292,count,Grand_Theft_Auto_VI
